,Frase 1,Frase 2,Frase 3,Frase 4,Frase 5,Frase 6,Frase 7,Frase 8,Frase 9,Frase 10,Frase 11,Frase 12,Frase 13,Frase 14,Frase 15,Frase 16,Frase 17,Frase 18,Frase 19,Frase 20
Frase 1,0.9999999,0.824829,0.87161565,0.75503695,0.7961817,0.76086235,0.74843645,0.7461665,0.69004273,0.7641233,0.7185131,0.78717345,0.7242453,0.78382885,0.74817646,0.76506424,0.7621201,0.8084377,0.76933616,0.7528589
Frase 2,0.824829,1.0,0.86978185,0.889734,0.8818642,0.8145135,0.8872806,0.89621925,0.8105342,0.88687027,0.8555331,0.90263,0.88275796,0.90493196,0.9179539,0.91625667,0.8749354,0.8777806,0.82705903,0.9229135
Frase 3,0.87161565,0.86978185,1.0000002,0.8174608,0.82613397,0.7629441,0.8140165,0.80054885,0.7481185,0.793356,0.7862507,0.83782774,0.7999865,0.8654128,0.81023103,0.80713844,0.8187594,0.85430956,0.8065275,0.82402116
Frase 4,0.75503695,0.889734,0.8174608,1.0000001,0.9345086,0.9167777,0.95443517,0.94645214,0.91585046,0.9509318,0.95514566,0.92660344,0.9660325,0.9443252,0.9361824,0.95507395,0.9561678,0.91859317,0.92699695,0.9528818
Frase 5,0.7961817,0.8818642,0.82613397,0.9345086,1.0,0.9081439,0.90642107,0.8975866,0.884721,0.8996062,0.91151303,0.9060056,0.9231468,0.912666,0.899933,0.9138272,0.9242341,0.9131828,0.92416084,0.908988
Frase 6,0.76086235,0.8145135,0.7629441,0.9167777,0.9081439,1.0000004,0.8885496,0.87572634,0.8987168,0.92753243,0.91255635,0.86589533,0.8944111,0.8837362,0.8552238,0.8846602,0.9238682,0.8760402,0.92830867,0.87385446
Frase 7,0.74843645,0.8872806,0.8140165,0.95443517,0.90642107,0.8885496,1.0,0.9420379,0.9006375,0.9287833,0.94573796,0.92234457,0.9453287,0.9310734,0.93336946,0.9549713,0.93498075,0.882535,0.90456706,0.9390033
Frase 8,0.7461665,0.89621925,0.80054885,0.94645214,0.8975866,0.87572634,0.9420379,1.0,0.8934389,0.9269706,0.93044764,0.9313681,0.9513638,0.92987245,0.9499163,0.9464522,0.91701365,0.89706105,0.8770282,0.9364865
Frase 9,0.69004273,0.8105342,0.7481185,0.91585046,0.884721,0.8987168,0.9006375,0.8934389,1.0000001,0.9034939,0.93402195,0.8754696,0.9240787,0.8923554,0.8481509,0.9123137,0.93446195,0.8665192,0.9079295,0.8780858
Frase 10,0.7641233,0.88687027,0.793356,0.9509318,0.8996062,0.92753243,0.9287833,0.9269706,0.9034939,0.99999994,0.947205,0.9052428,0.9412215,0.91742367,0.928643,0.94676197,0.9295542,0.889391,0.8927005,0.9419336
Frase 11,0.7185131,0.8555331,0.7862507,0.95514566,0.91151303,0.91255635,0.94573796,0.93044764,0.93402195,0.947205,0.99999976,0.9145151,0.95180154,0.93579084,0.91318923,0.94121,0.95282364,0.8980431,0.92350847,0.9318365
Frase 12,0.78717345,0.90263,0.83782774,0.92660344,0.9060056,0.86589533,0.92234457,0.9313681,0.8754696,0.9052428,0.9145151,1.0000002,0.9339417,0.9311194,0.90863067,0.91764724,0.9175174,0.8973636,0.88614905,0.92483544
Frase 13,0.7242453,0.88275796,0.7999865,0.9660325,0.9231468,0.8944111,0.9453287,0.9513638,0.9240787,0.9412215,0.95180154,0.9339417,0.9999999,0.9400852,0.9345348,0.9490929,0.94859296,0.90219223,0.90856177,0.9470963
Frase 14,0.78382885,0.90493196,0.8654128,0.9443252,0.912666,0.8837362,0.9310734,0.92987245,0.8923554,0.91742367,0.93579084,0.9311194,0.9400852,0.99999976,0.9214052,0.93428385,0.9460747,0.92907,0.9023266,0.93070185
Frase 15,0.74817646,0.9179539,0.81023103,0.9361824,0.899933,0.8552238,0.93336946,0.9499163,0.8481509,0.928643,0.91318923,0.90863067,0.9345348,0.9214052,1.0000002,0.9532966,0.90396476,0.8737664,0.8656211,0.9462094
Frase 16,0.76506424,0.91625667,0.80713844,0.95507395,0.9138272,0.8846602,0.9549713,0.9464522,0.9123137,0.94676197,0.94121,0.91764724,0.9490929,0.93428385,0.9532966,1.0000002,0.94084144,0.8895521,0.89214313,0.9561669
Frase 17,0.7621201,0.8749354,0.8187594,0.9561678,0.9242341,0.9238682,0.93498075,0.91701365,0.93446195,0.9295542,0.95282364,0.9175174,0.94859296,0.9460747,0.90396476,0.94084144,0.99999934,0.92972195,0.95581955,0.9168176
Frase 18,0.8084377,0.8777806,0.85430956,0.91859317,0.9131828,0.8760402,0.882535,0.89706105,0.8665192,0.889391,0.8980431,0.8973636,0.90219223,0.92907,0.8737664,0.8895521,0.92972195,0.9999999,0.91308045,0.90004605
Frase 19,0.76933616,0.82705903,0.8065275,0.92699695,0.92416084,0.92830867,0.90456706,0.8770282,0.9079295,0.8927005,0.92350847,0.88614905,0.90856177,0.9023266,0.8656211,0.89214313,0.95581955,0.91308045,0.99999964,0.87763834
Frase 20,0.7528589,0.9229135,0.82402116,0.9528818,0.908988,0.87385446,0.9390033,0.9364865,0.8780858,0.9419336,0.9318365,0.92483544,0.9470963,0.93070185,0.9462094,0.9561669,0.9168176,0.90004605,0.87763834,0.9999999
