,Frase 1,Frase 2,Frase 3,Frase 4,Frase 5,Frase 6,Frase 7,Frase 8,Frase 9,Frase 10,Frase 11,Frase 12,Frase 13,Frase 14,Frase 15,Frase 16,Frase 17,Frase 18,Frase 19,Frase 20
Frase 1,0.9999999,0.43254924,0.401693,0.29998916,0.2660634,0.38340402,0.32919216,0.33414075,0.25402087,0.3036223,0.31397235,0.28309512,0.2459282,0.24739914,0.33254546,0.27920166,0.23864272,0.31018895,0.21569084,0.33717299
Frase 2,0.43254924,0.99999964,0.44680277,0.47234046,0.42222548,0.453893,0.4368587,0.40150672,0.48126185,0.45357522,0.44977567,0.4397223,0.36855763,0.36867332,0.44828025,0.45017537,0.3520881,0.4329451,0.29866198,0.3866042
Frase 3,0.401693,0.44680277,0.99999976,0.52477664,0.3462952,0.42869127,0.38847652,0.4375718,0.5016248,0.43606225,0.4534432,0.41969395,0.38502935,0.38301986,0.49402875,0.41099373,0.3822568,0.40458483,0.34223086,0.5960356
Frase 4,0.29998916,0.47234046,0.52477664,1.0000001,0.59580076,0.4860571,0.60496205,0.64883965,0.55972075,0.44857594,0.570513,0.57843524,0.5801767,0.5775146,0.62587994,0.57538486,0.5212489,0.58731174,0.40578693,0.5817306
Frase 5,0.2660634,0.42222548,0.3462952,0.59580076,0.99999976,0.40659034,0.45061946,0.5264424,0.4655716,0.35251492,0.37037808,0.434954,0.80529124,0.5843912,0.4068286,0.675956,0.6662799,0.5457632,0.5385059,0.43733802
Frase 6,0.38340402,0.453893,0.42869127,0.4860571,0.40659034,1.0000001,0.35304654,0.4170556,0.53611434,0.6540765,0.40110675,0.41717145,0.3893527,0.38059223,0.49004894,0.3977669,0.3436353,0.4034204,0.30619538,0.44689652
Frase 7,0.32919216,0.4368587,0.38847652,0.60496205,0.45061946,0.35304654,0.9999998,0.58295506,0.45362705,0.34366107,0.43596187,0.50563717,0.4535167,0.50435746,0.5222218,0.5304835,0.46105486,0.5808404,0.37491643,0.5183282
Frase 8,0.33414075,0.40150672,0.4375718,0.64883965,0.5264424,0.4170556,0.58295506,1.0000001,0.47928268,0.37942645,0.41872984,0.48692364,0.5906809,0.5723086,0.5660367,0.50032365,0.44024974,0.70411307,0.3591122,0.48602167
Frase 9,0.25402087,0.48126185,0.5016248,0.55972075,0.4655716,0.53611434,0.45362705,0.47928268,0.99999976,0.55025023,0.51246977,0.460175,0.4039235,0.43223184,0.49131387,0.40685597,0.37252295,0.45141345,0.32461047,0.46895075
Frase 10,0.3036223,0.45357522,0.43606225,0.44857594,0.35251492,0.6540765,0.34366107,0.37942645,0.55025023,0.9999999,0.37218702,0.42893654,0.37972414,0.36598822,0.47503912,0.3806997,0.36512,0.41738066,0.31943205,0.40219545
Frase 11,0.31397235,0.44977567,0.4534432,0.570513,0.37037808,0.40110675,0.43596187,0.41872984,0.51246977,0.37218702,1.0000004,0.42030635,0.30707642,0.35387963,0.45847276,0.39861444,0.34579024,0.3991445,0.31203157,0.44495392
Frase 12,0.28309512,0.4397223,0.41969395,0.57843524,0.434954,0.41717145,0.50563717,0.48692364,0.460175,0.42893654,0.42030635,1.0000001,0.45990127,0.47924995,0.60856783,0.52580625,0.37204206,0.49589938,0.35994127,0.5475749
Frase 13,0.2459282,0.36855763,0.38502935,0.5801767,0.80529124,0.3893527,0.4535167,0.5906809,0.4039235,0.37972414,0.30707642,0.45990127,1.0,0.6973032,0.47067097,0.69471216,0.72153676,0.6475712,0.6022258,0.4402799
Frase 14,0.24739914,0.36867332,0.38301986,0.5775146,0.5843912,0.38059223,0.50435746,0.5723086,0.43223184,0.36598822,0.35387963,0.47924995,0.6973032,0.99999994,0.56076896,0.6560595,0.60632354,0.6915272,0.49475825,0.46665865
Frase 15,0.33254546,0.44828025,0.49402875,0.62587994,0.4068286,0.49004894,0.5222218,0.5660367,0.49131387,0.47503912,0.45847276,0.60856783,0.47067097,0.56076896,1.0,0.5360335,0.428645,0.5292618,0.37432775,0.6176055
Frase 16,0.27920166,0.45017537,0.41099373,0.57538486,0.675956,0.3977669,0.5304835,0.50032365,0.40685597,0.3806997,0.39861444,0.52580625,0.69471216,0.6560595,0.5360335,1.0000001,0.70649725,0.55579734,0.6243237,0.5559565
Frase 17,0.23864272,0.3520881,0.3822568,0.5212489,0.6662799,0.3436353,0.46105486,0.44024974,0.37252295,0.36512,0.34579024,0.37204206,0.72153676,0.60632354,0.428645,0.70649725,1.0,0.4923193,0.8458345,0.45788896
Frase 18,0.31018895,0.4329451,0.40458483,0.58731174,0.5457632,0.4034204,0.5808404,0.70411307,0.45141345,0.41738066,0.3991445,0.49589938,0.6475712,0.6915272,0.5292618,0.55579734,0.4923193,1.0000001,0.4303611,0.46117014
Frase 19,0.21569084,0.29866198,0.34223086,0.40578693,0.5385059,0.30619538,0.37491643,0.3591122,0.32461047,0.31943205,0.31203157,0.35994127,0.6022258,0.49475825,0.37432775,0.6243237,0.8458345,0.4303611,0.9999999,0.406146
Frase 20,0.33717299,0.3866042,0.5960356,0.5817306,0.43733802,0.44689652,0.5183282,0.48602167,0.46895075,0.40219545,0.44495392,0.5475749,0.4402799,0.46665865,0.6176055,0.5559565,0.45788896,0.46117014,0.406146,1.0000001
